#{"t_start": 1733861681.073132, "env_id": "InvertedPendulum-v4"}
r,l,t
3.0,3,22.069802
3.0,3,22.138092
3.0,3,22.220237
3.0,3,22.287039
3.0,3,22.387261
3.0,3,22.458058
3.0,3,22.538035
3.0,3,22.606997
3.0,3,22.695942
3.0,3,22.761327
3.0,3,22.839451
3.0,3,22.911997
3.0,3,23.05556
3.0,3,23.14373
3.0,3,23.246932
3.0,3,23.323593
3.0,3,23.431049
3.0,3,23.504065
3.0,3,23.595137
3.0,3,23.680893
3.0,3,23.761155
3.0,3,23.844301
3.0,3,23.931992
3.0,3,23.996981
3.0,3,24.080055
3.0,3,24.185141
3.0,3,24.383978
3.0,3,24.551207
3.0,3,24.70465
3.0,3,24.872894
3.0,3,25.02257
3.0,3,25.126441
3.0,3,25.221023
5.0,5,25.376814
5.0,5,25.566094
3.0,3,25.663058
4.0,4,25.810616
6.0,6,25.974746
11.0,11,26.384373
14.0,14,26.877134
15.0,15,27.594507
7.0,7,27.969254
9.0,9,29.0217
11.0,11,29.584157
10.0,10,30.034599
12.0,12,30.521587
15.0,15,30.998868
11.0,11,31.484795
13.0,13,31.993365
14.0,14,32.788605
40.0,40,34.958222
39.0,39,36.950538
35.0,35,38.747138
36.0,36,40.042064
35.0,35,41.061776
35.0,35,42.052098
33.0,33,43.022176
30.0,30,43.829447
36.0,36,44.753961
33.0,33,45.636866
32.0,32,46.622236
41.0,41,47.671967
39.0,39,48.621931
40.0,40,49.652006
45.0,45,50.891929
43.0,43,52.011734
50.0,50,53.581864
57.0,57,55.316659
55.0,55,57.481829
56.0,56,59.531952
52.0,52,61.216917
72.0,72,63.448315
64.0,64,65.243394
53.0,53,66.604954
63.0,63,68.226504
54.0,54,69.880268
62.0,62,72.815975
56.0,56,74.863752
62.0,62,77.563512
54.0,54,79.170238
56.0,56,81.08375
57.0,57,83.157809
52.0,52,84.758159
52.0,52,86.730043
51.0,51,88.605806
53.0,53,90.354128
52.0,52,91.806475
56.0,56,93.317484
49.0,49,94.77362
48.0,48,96.069946
48.0,48,97.329289
52.0,52,98.754398
47.0,47,100.110709
53.0,53,101.483175
50.0,50,102.760225
51.0,51,104.155606
49.0,49,105.4527
50.0,50,106.703165
47.0,47,108.043118
50.0,50,109.466641
51.0,51,110.761447
44.0,44,111.96038
47.0,47,113.245091
49.0,49,114.536571
50.0,50,115.968224
49.0,49,117.295559
50.0,50,118.571147
45.0,45,119.758723
49.0,49,121.120896
51.0,51,122.564894
52.0,52,124.017176
52.0,52,125.407234
53.0,53,126.908727
54.0,54,128.448787
49.0,49,129.899328
58.0,58,131.5024
47.0,47,132.838639
52.0,52,134.258687
53.0,53,135.761804
52.0,52,137.434261
57.0,57,139.180303
57.0,57,140.752558
54.0,54,142.142211
56.0,56,143.76685
56.0,56,145.23062
54.0,54,146.750235
60.0,60,148.518066
59.0,59,150.16138
57.0,57,151.631249
63.0,63,153.481163
62.0,62,155.394493
52.0,52,156.777383
66.0,66,158.446871
61.0,61,160.037575
61.0,61,161.568067
59.0,59,163.060893
64.0,64,164.731502
64.0,64,166.511113
61.0,61,168.053908
60.0,60,169.575076
72.0,72,171.45301
72.0,72,173.255057
72.0,72,175.080013
76.0,76,177.046667
62.0,62,178.545909
66.0,66,180.208851
72.0,72,182.091121
83.0,83,184.351861
69.0,69,186.174348
101.0,101,188.930481
73.0,73,190.915279
75.0,75,192.762614
95.0,95,195.080167
75.0,75,196.977375
65.0,65,198.766189
67.0,67,200.450964
105.0,105,203.068612
75.0,75,204.910426
57.0,57,206.284586
77.0,77,208.114498
65.0,65,209.859766
76.0,76,211.807986
103.0,103,214.549669
66.0,66,216.354473
85.0,85,218.524988
65.0,65,220.094898
76.0,76,222.006995
83.0,83,224.169777
80.0,80,226.253654
64.0,64,227.923038
73.0,73,229.998058
69.0,69,232.026881
79.0,79,234.185386
65.0,65,236.414386
66.0,66,238.229906
76.0,76,240.180366
77.0,77,242.204817
73.0,73,244.095467
80.0,80,246.390211
75.0,75,248.380195
77.0,77,250.380713
87.0,87,252.69009
66.0,66,254.551834
68.0,68,256.484598
138.0,138,260.242706
89.0,89,262.675141
75.0,75,264.769003
85.0,85,266.991803
78.0,78,268.893376
125.0,125,271.931391
157.0,157,276.63476
99.0,99,279.10388
57.0,57,280.677577
86.0,86,283.086016
83.0,83,285.338979
88.0,88,287.725164
83.0,83,289.887862
62.0,62,291.493007
60.0,60,293.014957
